country,population
Afghanistan,33736494
Albania,2923352
Algeria,39871528
American Samoa,55537
Andorra,78014
Angola,27859305
Anguilla,14611
Antigua and Barbuda,99923
Argentina,43417765
Armenia,2916950
Aruba,104341
Australia,23799556
Austria,8678657
Azerbaijan,9617484
Bahamas,386838
Bahrain,1371855
Bangladesh,161200886
Barbados,284217
Belarus,9485772
Belgium,11287940
Belize,359288
Benin,10575952
Bermuda,62003
Bhutan,787386
Bolivia (Plurinational State of),10724705
Bosnia and Herzegovina,3535961
Botswana,2209197
Brazil,205962108
British Virgin Islands,30113
Brunei Darussalam,417542
Bulgaria,7177396
Burkina Faso,18110624
Burundi,10199270
Cabo Verde,532913
Cambodia,15517635
Cameroon,22834522
Canada,35949709
Caribbean Netherlands,24570
Cayman Islands,59963
Central African Republic,4546100
Chad,14009413
Channel Islands,163758
Chile,17762681
China,1397028553
"China, Hong Kong SAR",7245701
"China, Macao SAR",600942
"China, Taiwan Province of China",23485755
Colombia,48228697
Comoros,777424
Congo,4995648
Cook Islands,17449
Costa Rica,4807852
Côte d'Ivoire,23108472
Croatia,4236016
Cuba,11461432
Curaçao,158010
Cyprus,1160985
Czechia,10603762
Dem. People's Republic of Korea,25243917
Democratic Republic of the Congo,76196619
Denmark,5688695
Djibouti,927414
Dominica,73162
Dominican Republic,10528394
Ecuador,16144368
Egypt,93778172
El Salvador,6312478
Equatorial Guinea,1175389
Eritrea,4846976
Estonia,1315321
Ethiopia,99873033
Faeroe Islands,48965
Falkland Islands (Malvinas),2898
Fiji,892149
Finland,5481966
France,64457201
French Guiana,268691
French Polynesia,277690
Gabon,1930175
Gambia,1977590
Georgia,3951524
Germany,81707789
Ghana,27582821
Gibraltar,34228
Greece,11217800
Greenland,56377
Grenada,106823
Guadeloupe,450418
Guam,161797
Guatemala,16252429
Guinea,12091533
Guinea-Bissau,1770526
Guyana,768514
Haiti,10711061
Holy See,803
Honduras,8960829
Hungary,9783925
Iceland,330243
India,1309053980
Indonesia,258162113
Iran (Islamic Republic of),79360487
Iraq,36115649
Ireland,4700107
Isle of Man,83167
Israel,8064547
Italy,59504212
Jamaica,2871934
Japan,127974958
Jordan,9159302
Kazakhstan,17749648
Kenya,47236259
Kiribati,112407
Kuwait,3935794
Kyrgyzstan,5865401
Lao People's Democratic Republic,6663967
Latvia,1992663
Lebanon,5851479
Lesotho,2174645
Liberia,4499621
Libya,6234955
Liechtenstein,37403
Lithuania,2931926
Luxembourg,566741
Madagascar,24234088
Malawi,17573607
Malaysia,30723155
Maldives,418403
Mali,17467905
Malta,427616
Marshall Islands,52994
Martinique,385842
Mauritania,4182341
Mauritius,1259456
Mayotte,240020
Mexico,125890949
Micronesia (Fed. States of),104433
Monaco,38307
Mongolia,2976877
Montenegro,628178
Montserrat,5124
Morocco,34803322
Mozambique,28010691
Myanmar,52403669
Namibia,2425561
Nauru,11260
Nepal,28656282
Netherlands,16938499
New Caledonia,269091
New Zealand,4614532
Nicaragua,6082035
Niger,19896965
Nigeria,181181744
Niue,1629
Northern Mariana Islands,54816
Norway,5199836
Oman,4199810
Pakistan,189380513
Palau,21288
Panama,3969249
Papua New Guinea,7919825
Paraguay,6639119
Peru,31376671
Philippines,101716359
Poland,38265226
Portugal,10418473
Puerto Rico,3673728
Qatar,2481539
Republic of Korea,50593662
Republic of Moldova,4065980
Réunion,863363
Romania,19876621
Russian Federation,143888004
Rwanda,11629553
Saint Helena,4034
Saint Kitts and Nevis,54288
Saint Lucia,177206
Saint Pierre and Miquelon,6290
Saint Vincent and the Grenadines,109455
Samoa,193759
San Marino,32960
Sao Tome and Principe,195553
Saudi Arabia,31557144
Senegal,14976994
Serbia,8851280
Seychelles,93742
Sierra Leone,7237025
Singapore,5535262
Sint Maarten (Dutch part),38750
Slovakia,5439318
Slovenia,2074788
Solomon Islands,587482
Somalia,13908129
South Africa,55291225
South Sudan,11882136
Spain,46397664
Sri Lanka,20714040
State of Palestine,4662884
Sudan,38647803
Suriname,553208
Swaziland,1319011
Sweden,9763565
Switzerland,8319769
Syrian Arab Republic,18734987
Tajikistan,8548651
TFYR Macedonia,2079308
Thailand,68657600
Timor-Leste,1240977
Togo,7416802
Tokelau,1252
Tonga,106364
Trinidad and Tobago,1360092
Tunisia,11273661
Turkey,78271472
Turkmenistan,5565284
Turks and Caicos Islands,34339
Tuvalu,11001
Uganda,40144870
Ukraine,44657704
United Arab Emirates,9154302
United Kingdom,65397080
United Republic of Tanzania,53879957
United States of America,319929162
United States Virgin Islands,104977
Uruguay,3431552
Uzbekistan,30976021
Vanuatu,264603
Venezuela (Bolivarian Republic of),31155134
Viet Nam,93571567
Wallis and Futuna Islands,12066
Western Sahara,526216
Yemen,26916207
Zambia,16100587
Zimbabwe,15777451
